ID_Vehiculo,Tipo_vehiculo,Marca,Modelo,Año,Capacidad
52,adipiscing elit proin risus praesent lectus vestibulum quam sapien,Mercedes-Benz,W201,1989,6
53,nullam porttitor lacus at turpis donec posuere metus vitae,Nissan,Pathfinder,1994,7
54,integer tincidunt ante vel ipsum praesent blandit lacinia,Subaru,Forester,2010,6
55,venenatis non sodales sed tincidunt eu felis fusce,Bentley,Azure,2006,7
56,ipsum dolor sit amet consectetuer adipiscing,Chevrolet,Corvette,1960,3
57,cras mi pede malesuada in imperdiet et commodo vulputate,Toyota,RAV4,2011,5
58,tempus semper est quam pharetra magna ac consequat metus,Mazda,MX-6,1990,3
59,sapien arcu sed augue aliquam erat volutpat in congue etiam,Mazda,B-Series,1989,5
60,mattis nibh ligula nec sem duis aliquam convallis nunc proin,Dodge,Magnum,2008,7
61,diam erat fermentum justo nec condimentum neque,Lincoln,MKX,2013,4
62,porta volutpat erat quisque erat eros viverra eget congue,Pontiac,GTO,1970,6
63,ut massa quis augue luctus tincidunt,Dodge,Dakota,1995,6
64,justo aliquam quis turpis eget elit sodales scelerisque mauris,Volvo,C70,2013,2
65,ac diam cras pellentesque volutpat,Mercedes-Benz,SL-Class,2000,3
66,bibendum morbi non quam nec dui,Lexus,ES,1990,5
67,purus sit amet nulla quisque arcu libero rutrum ac lobortis,Mitsubishi,Diamante,1998,1
68,tellus nisi eu orci mauris lacinia,Chevrolet,Suburban 2500,2004,2
69,eros suspendisse accumsan tortor quis turpis,Chevrolet,Avalanche,2009,5
70,suspendisse potenti cras in purus eu magna vulputate,Subaru,Legacy,1992,7
71,dui vel nisl duis ac nibh fusce,Hyundai,Santa Fe,2004,1
72,nec nisi vulputate nonummy maecenas tincidunt,MINI,Countryman,2012,4
73,augue aliquam erat volutpat in congue etiam justo,Dodge,D250 Club,1993,1
74,massa id nisl venenatis lacinia aenean sit amet,Buick,LeSabre,2004,1
75,cubilia curae donec pharetra magna,Chevrolet,Suburban 1500,1999,3
76,massa quis augue luctus tincidunt nulla mollis,Mitsubishi,Galant,2011,2
77,viverra pede ac diam cras pellentesque volutpat dui maecenas,Isuzu,Stylus,1992,4
78,amet nulla quisque arcu libero rutrum ac lobortis vel,Mazda,B-Series,2003,7
79,sem fusce consequat nulla nisl nunc nisl duis bibendum felis,Acura,Integra,1997,1
80,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,Ford,Escape,2002,3
81,congue vivamus metus arcu adipiscing molestie hendrerit at,Suzuki,SX4,2011,7
82,dictumst etiam faucibus cursus urna ut,Bentley,Continental Flying Spur,2011,7
83,tristique in tempus sit amet sem fusce consequat nulla nisl,Cadillac,DeVille,2004,5
84,lorem ipsum dolor sit amet,Mazda,626,1996,6
85,mi sit amet lobortis sapien,Mercury,Grand Marquis,1990,6
86,libero nullam sit amet turpis elementum,GMC,Savana 3500,1998,7
87,dolor morbi vel lectus in quam fringilla rhoncus,GMC,Sonoma Club Coupe,1997,5
88,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,Audi,A4,2003,2
89,ut massa quis augue luctus tincidunt nulla mollis molestie lorem,Mercedes-Benz,CLK-Class,2009,4
90,rutrum ac lobortis vel dapibus at diam,Mercedes-Benz,SLK-Class,1997,5
91,luctus tincidunt nulla mollis molestie lorem quisque ut erat,Mitsubishi,Lancer,2007,4
92,morbi vestibulum velit id pretium iaculis,Plymouth,Neon,1995,6
93,donec quis orci eget orci vehicula condimentum curabitur in,GMC,Sierra 1500,2005,7
94,venenatis non sodales sed tincidunt eu,BMW,750,2006,5
95,primis in faucibus orci luctus et ultrices posuere cubilia curae,Ford,LTD Crown Victoria,1988,4
96,at ipsum ac tellus semper interdum mauris ullamcorper purus,Audi,A6,2006,2
97,velit eu est congue elementum in hac habitasse platea,GMC,Vandura 1500,1993,5
98,placerat praesent blandit nam nulla integer,Infiniti,Q,1998,2
99,viverra dapibus nulla suscipit ligula in lacus,Hyundai,Tucson,2005,7
100,nam dui proin leo odio porttitor id,Isuzu,i-350,2006,4
101,in felis eu sapien cursus vestibulum proin eu mi nulla,Chevrolet,2500,1997,1
102,pede morbi porttitor lorem id ligula,Lexus,CT,2011,2
103,congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae,Mercury,Mountaineer,1998,1
104,luctus et ultrices posuere cubilia curae,GMC,Yukon XL 2500,2010,4
105,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,Chrysler,Town & Country,2012,6
106,leo rhoncus sed vestibulum sit,GMC,2500 Club Coupe,1996,5
107,leo maecenas pulvinar lobortis est phasellus sit,Chevrolet,Tahoe,2011,5
108,fusce lacus purus aliquet at,Pontiac,Torrent,2008,4
109,sed augue aliquam erat volutpat in congue etiam justo,Volvo,XC70,2012,7
110,quisque arcu libero rutrum ac lobortis vel dapibus at diam,Suzuki,Esteem,1995,6
111,phasellus id sapien in sapien iaculis congue vivamus metus arcu,Saab,9-3,2010,5
112,velit vivamus vel nulla eget eros elementum,Mercedes-Benz,C-Class,2000,2
113,ut ultrices vel augue vestibulum ante,BMW,600,1958,1
114,proin at turpis a pede posuere nonummy integer non velit,Porsche,911,1987,5
115,odio elementum eu interdum eu tincidunt in leo maecenas,Dodge,Ram 1500 Club,1998,1
116,consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,Chevrolet,Cavalier,2004,1
117,mollis molestie lorem quisque ut,Chevrolet,Suburban 1500,2006,6
118,tortor duis mattis egestas metus aenean fermentum donec ut mauris,Volvo,940,1994,5
119,tempus vivamus in felis eu sapien cursus,Land Rover,Range Rover,1994,2
120,feugiat non pretium quis lectus suspendisse potenti,Mercury,Cougar,1991,6
121,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,Mercedes-Benz,Sprinter 2500,2011,2
122,vulputate ut ultrices vel augue vestibulum ante ipsum primis,Ford,LTD Crown Victoria,1991,2
123,velit donec diam neque vestibulum eget vulputate,Audi,A3,2010,6
124,iaculis justo in hac habitasse platea,Chevrolet,Express 1500,2005,3
125,cum sociis natoque penatibus et magnis,Ford,Mustang,1971,2
126,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et,Pontiac,Bonneville,1997,7
127,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,Ford,E250,2005,3
128,primis in faucibus orci luctus et,Mazda,MX-5,1994,1
129,amet consectetuer adipiscing elit proin,Ford,Thunderbird,1955,3
130,sit amet cursus id turpis integer aliquet,GMC,Canyon,2010,3
131,condimentum curabitur in libero ut massa volutpat convallis morbi,Cadillac,Escalade ESV,2003,4
132,vel enim sit amet nunc,BMW,6 Series,2010,5
133,turpis a pede posuere nonummy integer non,Volkswagen,Jetta,1995,1
134,elementum pellentesque quisque porta volutpat erat quisque,Chevrolet,Camaro,1967,2
135,nisl nunc rhoncus dui vel sem sed,Audi,Q7,2008,5
136,lacus morbi sem mauris laoreet,Subaru,Forester,2012,2
137,est congue elementum in hac habitasse platea dictumst morbi vestibulum,Saab,9000,1997,5
138,orci eget orci vehicula condimentum curabitur in libero,Hyundai,Elantra,1996,6
139,ac consequat metus sapien ut nunc vestibulum ante ipsum primis,Jeep,Wrangler,1997,5
140,velit id pretium iaculis diam erat fermentum justo nec,Ford,Explorer,2005,5
141,dui vel nisl duis ac nibh fusce lacus purus,Ford,Explorer,2000,2
142,in est risus auctor sed tristique in tempus,Porsche,911,1997,4
143,est congue elementum in hac,Ford,Ranger,2009,4
144,dolor sit amet consectetuer adipiscing elit,Porsche,Cayman,2006,1
145,ultrices mattis odio donec vitae nisi nam ultrices libero,Volkswagen,GTI,2000,6
146,blandit ultrices enim lorem ipsum dolor sit amet consectetuer,GMC,Jimmy,1994,5
147,vel ipsum praesent blandit lacinia,Chevrolet,Tahoe,1996,1
148,ac tellus semper interdum mauris ullamcorper purus,Lotus,Esprit,1992,6
149,viverra pede ac diam cras pellentesque volutpat,Lexus,RX,2002,1
150,diam nam tristique tortor eu pede,Chevrolet,Malibu,2006,5
151,sed accumsan felis ut at dolor quis,Mazda,Familia,1991,4
152,elit proin risus praesent lectus,Pontiac,Grand Am,1987,7
153,lacus at turpis donec posuere,Bentley,Mulsanne,2012,1
154,cursus urna ut tellus nulla ut erat id,Jaguar,XK Series,2013,7
155,mollis molestie lorem quisque ut erat curabitur gravida,Chevrolet,Cavalier,1998,1
156,in faucibus orci luctus et ultrices posuere cubilia curae,Plymouth,Neon,2000,1
157,ut suscipit a feugiat et eros,Suzuki,Daewoo Lacetti,2006,7
158,odio porttitor id consequat in consequat ut nulla sed accumsan,Mitsubishi,Lancer Evolution,2005,7
159,dapibus duis at velit eu est congue elementum in hac,Audi,Cabriolet,1996,2
160,nam ultrices libero non mattis pulvinar nulla pede ullamcorper,Volkswagen,Eos,2007,7
161,in leo maecenas pulvinar lobortis est phasellus sit amet erat,Ford,Thunderbird,2003,1
162,bibendum imperdiet nullam orci pede venenatis,Chrysler,Town & Country,1992,7
163,neque vestibulum eget vulputate ut ultrices,Mitsubishi,Tredia,1984,1
164,nunc donec quis orci eget orci vehicula condimentum,Toyota,Camry Solara,2007,7
165,non quam nec dui luctus rutrum nulla tellus in sagittis,Lincoln,Navigator,2001,6
166,blandit mi in porttitor pede justo eu massa,Ford,Escort,1985,1
167,sed vestibulum sit amet cursus id turpis,Acura,TL,2009,6
168,mi nulla ac enim in tempor turpis nec,Mitsubishi,Mirage,1995,5
169,augue vestibulum ante ipsum primis in faucibus orci luctus,Dodge,Shadow,1994,5
170,vel lectus in quam fringilla,Mitsubishi,Endeavor,2010,1
171,justo nec condimentum neque sapien placerat ante,Lincoln,MKT,2010,3
172,metus arcu adipiscing molestie hendrerit at,Honda,S2000,2006,7
173,eget rutrum at lorem integer,Ford,Explorer,1998,1
174,accumsan tellus nisi eu orci mauris lacinia sapien quis,Ford,Taurus,1989,3
175,vel lectus in quam fringilla rhoncus mauris enim leo,Cadillac,Eldorado,1992,2
176,faucibus orci luctus et ultrices posuere cubilia,Buick,Enclave,2008,4
177,lectus pellentesque at nulla suspendisse,Lexus,RX,2008,1
178,sed augue aliquam erat volutpat in congue,Chrysler,Crossfire,2006,6
179,odio odio elementum eu interdum eu tincidunt,Ford,Contour,1999,6
180,eu sapien cursus vestibulum proin eu mi nulla ac enim,Chevrolet,Corvette,1964,5
181,tortor id nulla ultrices aliquet maecenas leo odio condimentum,Ford,Crown Victoria,2005,2
182,justo maecenas rhoncus aliquam lacus,GMC,3500 Club Coupe,1994,4
183,tempus vivamus in felis eu sapien,Acura,RL,2009,4
184,ut ultrices vel augue vestibulum,Mitsubishi,Montero,1999,4
185,dolor quis odio consequat varius integer ac leo pellentesque ultrices,Nissan,300ZX,1991,7
186,donec semper sapien a libero nam dui proin,Dodge,Ram 3500,1995,6
187,magna ac consequat metus sapien ut nunc,Mercedes-Benz,CLS-Class,2007,6
188,sapien cursus vestibulum proin eu mi nulla ac enim in,Ford,Escort,1985,2
189,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,Volvo,S60,2001,7
190,nisi volutpat eleifend donec ut dolor morbi vel lectus,Isuzu,Rodeo,2003,1
191,felis ut at dolor quis odio consequat varius,Ford,Probe,1993,6
192,elementum nullam varius nulla facilisi,Ford,Expedition,2004,6
193,vel lectus in quam fringilla rhoncus mauris enim,Saab,9-5,2000,3
194,venenatis turpis enim blandit mi in porttitor pede justo,Mercury,Mountaineer,1998,5
195,faucibus cursus urna ut tellus nulla ut erat id,GMC,Savana 2500,2005,4
196,tellus nisi eu orci mauris lacinia sapien quis libero nullam,Chevrolet,2500,1994,3
197,duis bibendum morbi non quam nec dui luctus rutrum,Ford,Windstar,2000,4
198,aliquam non mauris morbi non lectus aliquam sit,GMC,Yukon XL 1500,2004,3
199,ut erat curabitur gravida nisi at,Mazda,Millenia,2002,3
200,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,Subaru,Forester,2008,1
201,porttitor lorem id ligula suspendisse ornare consequat lectus in est,BMW,M5,2010,1
202,erat fermentum justo nec condimentum neque sapien placerat ante,Lincoln,Continental,1990,4
203,sem mauris laoreet ut rhoncus,Chevrolet,Corvette,1970,3
204,dapibus dolor vel est donec,Mitsubishi,Chariot,1990,1
205,scelerisque quam turpis adipiscing lorem vitae,Volkswagen,Passat,1993,2
206,lectus pellentesque eget nunc donec quis orci eget,Volvo,960,1992,4
207,amet erat nulla tempus vivamus in felis eu sapien,Pontiac,Grand Prix,1967,6
208,nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,Ford,F150,2011,1
209,blandit nam nulla integer pede justo lacinia eget,Volvo,XC60,2010,1
210,nisl aenean lectus pellentesque eget nunc donec quis orci eget,Jeep,Liberty,2012,5
211,ipsum dolor sit amet consectetuer,Saab,900,1993,5
212,ornare imperdiet sapien urna pretium,Dodge,Viper,2003,1
213,integer ac leo pellentesque ultrices mattis odio donec vitae,Nissan,Altima,2011,5
214,nam ultrices libero non mattis pulvinar nulla,Chrysler,Town & Country,1999,4
215,est risus auctor sed tristique in tempus,Buick,Skylark,1994,4
216,non velit donec diam neque vestibulum eget vulputate,Honda,CR-V,2003,5
217,a suscipit nulla elit ac nulla sed,Nissan,Altima,2013,1
218,duis aliquam convallis nunc proin at turpis a pede posuere,Nissan,Frontier,1999,3
219,neque aenean auctor gravida sem praesent,Chevrolet,Cavalier,2002,6
220,suscipit ligula in lacus curabitur at ipsum,Buick,Roadmaster,1995,5
221,nulla suscipit ligula in lacus curabitur at ipsum ac,Plymouth,Volare,1976,1
222,quis libero nullam sit amet turpis elementum ligula vehicula consequat,Ford,Thunderbird,1991,5
223,vivamus tortor duis mattis egestas metus aenean fermentum donec,Chrysler,LHS,1999,2
224,eros elementum pellentesque quisque porta volutpat,Jaguar,XJ Series,1997,5
225,nulla elit ac nulla sed,Mercury,Tracer,1998,7
226,lacus at turpis donec posuere metus,BMW,Z4,2009,3
227,luctus tincidunt nulla mollis molestie lorem quisque,Citroën,CX,1989,2
228,fusce posuere felis sed lacus,Bentley,Continental,2010,6
229,ut volutpat sapien arcu sed augue,Audi,A6,2000,5
230,quis lectus suspendisse potenti in eleifend quam a odio,Pontiac,Grand Prix,1970,5
231,erat volutpat in congue etiam justo etiam pretium,Honda,Accord,1990,7
232,ac tellus semper interdum mauris ullamcorper purus sit amet,Chevrolet,Aveo,2006,1
233,duis mattis egestas metus aenean fermentum donec,Honda,Passport,2001,7
234,nisl venenatis lacinia aenean sit,Toyota,Camry Solara,2007,2
235,blandit nam nulla integer pede justo lacinia,Nissan,Murano,2007,3
236,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,Toyota,Corolla,2009,2
237,vitae quam suspendisse potenti nullam porttitor,Chevrolet,Express 1500,2012,3
238,aliquam non mauris morbi non lectus aliquam,Ford,Thunderbird,1986,5
239,id lobortis convallis tortor risus dapibus augue vel accumsan,Audi,S4,2002,6
240,faucibus orci luctus et ultrices posuere,Chevrolet,Suburban 1500,2000,1
241,dolor quis odio consequat varius integer ac,Mazda,Mazda3,2010,5
242,turpis sed ante vivamus tortor duis mattis,Nissan,NV2500,2012,6
243,neque aenean auctor gravida sem praesent id massa id,Mitsubishi,Lancer Evolution,2002,4
244,orci eget orci vehicula condimentum,Mazda,MPV,1997,2
245,amet justo morbi ut odio,BMW,525,2001,7
246,tempus sit amet sem fusce consequat nulla,Volkswagen,R32,2008,2
247,erat curabitur gravida nisi at nibh,Ford,Crown Victoria,1997,7
248,praesent lectus vestibulum quam sapien,Scion,xD,2012,4
249,in lacus curabitur at ipsum ac tellus,Volkswagen,Cabriolet,1986,1
250,libero nam dui proin leo odio porttitor,Ford,Escape,2002,7
251,venenatis turpis enim blandit mi,Volkswagen,Fox,1987,5
252,integer a nibh in quis,Suzuki,Swift,1992,1
253,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,Acura,RL,2008,2
254,enim leo rhoncus sed vestibulum sit,Dodge,Ram 2500,2007,3
255,quis lectus suspendisse potenti in eleifend quam a odio in,Chevrolet,Sportvan G30,1994,7
256,pede venenatis non sodales sed tincidunt eu felis fusce,Lexus,IS-F,2010,6
257,donec diam neque vestibulum eget vulputate ut,Mercedes-Benz,CL-Class,2012,2
258,mauris enim leo rhoncus sed vestibulum sit amet cursus,Ford,Contour,1997,7
259,ipsum ac tellus semper interdum,Lexus,LX,1999,7
260,commodo vulputate justo in blandit ultrices enim lorem,Toyota,Tacoma Xtra,2000,4
261,sociis natoque penatibus et magnis dis parturient montes nascetur,Honda,Accord,1999,5
262,amet turpis elementum ligula vehicula consequat morbi,Lexus,CT,2011,3
263,mi sit amet lobortis sapien sapien non mi integer,Lexus,GS,2002,2
264,luctus et ultrices posuere cubilia curae duis faucibus accumsan,Mercedes-Benz,M-Class,2008,7
265,integer pede justo lacinia eget,Volvo,C70,2011,5
266,et ultrices posuere cubilia curae mauris,GMC,Envoy XUV,2004,2
267,commodo vulputate justo in blandit ultrices enim lorem ipsum,Volkswagen,Eos,2012,5
268,ornare imperdiet sapien urna pretium nisl ut volutpat,Saab,9-3,2010,6
269,dictumst maecenas ut massa quis augue luctus tincidunt nulla,Pontiac,Firefly,1984,5
270,maecenas rhoncus aliquam lacus morbi quis tortor,Cadillac,SRX,2005,4
271,semper rutrum nulla nunc purus phasellus in felis,Dodge,Caravan,2007,2
272,non lectus aliquam sit amet,Lexus,GX,2003,3
273,eros vestibulum ac est lacinia nisi venenatis,Ford,Explorer,1997,7
274,quis orci eget orci vehicula condimentum curabitur in libero ut,BMW,X6 M,2010,2
275,nulla ultrices aliquet maecenas leo odio condimentum id,Lotus,Esprit,1998,4
276,morbi sem mauris laoreet ut,Mercedes-Benz,E-Class,1988,6
277,ultrices posuere cubilia curae nulla dapibus,Mercedes-Benz,E-Class,1986,6
278,dolor sit amet consectetuer adipiscing elit proin risus praesent,Ford,Expedition EL,2009,4
279,duis bibendum morbi non quam nec dui luctus rutrum nulla,Chevrolet,Blazer,1992,4
280,interdum eu tincidunt in leo maecenas,Mitsubishi,Expo,1994,1
281,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,GMC,Sierra Hybrid,2006,4
282,eget rutrum at lorem integer,Ford,Explorer Sport,2002,2
283,nullam sit amet turpis elementum ligula vehicula,Plymouth,Acclaim,1992,1
284,etiam justo etiam pretium iaculis justo in hac habitasse platea,Mazda,626,1985,2
285,ac neque duis bibendum morbi non,Saab,9-7X,2008,4
286,purus aliquet at feugiat non pretium quis lectus suspendisse potenti,Pontiac,Grand Am,1987,5
287,penatibus et magnis dis parturient montes nascetur,Toyota,Paseo,1995,2
288,nam congue risus semper porta volutpat quam pede,Ford,Thunderbird,2003,6
289,nulla pede ullamcorper augue a,Mercedes-Benz,E-Class,1989,3
290,adipiscing molestie hendrerit at vulputate vitae,BMW,Z4,2004,2
291,at diam nam tristique tortor,Toyota,Camry,1997,2
292,sit amet eros suspendisse accumsan tortor quis turpis,Dodge,Durango,2007,6
293,elementum eu interdum eu tincidunt in leo,Honda,Ridgeline,2010,3
294,mauris lacinia sapien quis libero nullam sit,Toyota,Camry,1996,1
295,aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,Isuzu,Rodeo,2003,1
296,est quam pharetra magna ac consequat,Cadillac,Seville,1996,4
297,justo etiam pretium iaculis justo in,Lotus,Esprit,2003,5
298,habitasse platea dictumst maecenas ut massa quis,Lincoln,Town Car,2006,6
299,in faucibus orci luctus et ultrices posuere,Volvo,XC90,2005,1
300,consequat lectus in est risus,Chevrolet,Sonic,2012,2
301,eget nunc donec quis orci eget orci vehicula condimentum curabitur,Mazda,626,2001,7
302,adipiscing lorem vitae mattis nibh ligula nec sem,Chevrolet,Sportvan G20,1994,7
303,orci luctus et ultrices posuere cubilia curae,Chevrolet,Camaro,1975,3
304,in tempor turpis nec euismod,Cadillac,CTS,2008,5
305,mus etiam vel augue vestibulum rutrum rutrum neque aenean,Dodge,Stratus,2004,5
306,magna bibendum imperdiet nullam orci pede venenatis non,GMC,Yukon,1992,2
307,vel nisl duis ac nibh fusce,Mercedes-Benz,SLK55 AMG,2009,4
308,luctus rutrum nulla tellus in sagittis dui vel,Land Rover,Range Rover Evoque,2012,7
309,aliquet ultrices erat tortor sollicitudin mi sit amet,Ford,Tempo,1989,1
310,mauris morbi non lectus aliquam,BMW,7 Series,2006,3
311,sollicitudin ut suscipit a feugiat et,Lamborghini,Diablo,1999,5
312,placerat ante nulla justo aliquam quis turpis eget,Audi,A4,2004,7
313,lorem ipsum dolor sit amet consectetuer,Volkswagen,Eos,2009,2
314,orci nullam molestie nibh in,Toyota,Echo,2004,5
315,id pretium iaculis diam erat fermentum justo nec,Toyota,4Runner,2010,4
316,id ornare imperdiet sapien urna pretium,Mercury,Cougar,1968,7
317,mus vivamus vestibulum sagittis sapien cum sociis natoque,Buick,LeSabre,1994,2
318,maecenas leo odio condimentum id luctus nec molestie,Mazda,626,1995,7
319,lobortis sapien sapien non mi integer ac neque,GMC,Vandura 2500,1992,2
320,mi integer ac neque duis bibendum morbi non quam nec,Suzuki,Sidekick,1989,5
321,sapien iaculis congue vivamus metus,Chevrolet,Cavalier,2001,1
322,sapien varius ut blandit non interdum in,Toyota,Corolla,2012,3
323,nulla neque libero convallis eget,Lincoln,MKS,2012,5
324,turpis integer aliquet massa id lobortis,Mazda,MX-6,1994,4
325,duis at velit eu est congue elementum in hac,Lexus,RX,2011,4
326,cursus id turpis integer aliquet massa id lobortis convallis tortor,Buick,LeSabre,1991,3
327,sapien sapien non mi integer ac neque duis bibendum morbi,Mercury,Topaz,1984,3
328,sollicitudin mi sit amet lobortis sapien sapien non,Subaru,Legacy,2001,4
329,aenean fermentum donec ut mauris eget massa tempor convallis,Plymouth,Grand Voyager,1999,4
330,vulputate luctus cum sociis natoque penatibus et magnis dis parturient,Chevrolet,S10,2002,3
331,suspendisse potenti cras in purus eu,Chrysler,Town & Country,1996,7
332,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,GMC,3500,1993,7
333,turpis enim blandit mi in porttitor pede justo eu,Hyundai,Elantra,1996,4
334,lobortis sapien sapien non mi integer ac,Audi,S4,2011,3
335,sagittis sapien cum sociis natoque penatibus et magnis dis parturient,Jaguar,XJ,2007,5
336,lacinia nisi venenatis tristique fusce congue diam id,Audi,V8,1990,1
337,id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum,Mazda,RX-7,1983,5
338,eu orci mauris lacinia sapien quis,Suzuki,Esteem,1996,3
339,tempus vivamus in felis eu sapien cursus vestibulum proin eu,Saab,900,1987,7
340,vel enim sit amet nunc viverra dapibus nulla,Mazda,RX-8,2006,6
341,quisque arcu libero rutrum ac,Lincoln,MKX,2012,2
342,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis,Ford,F250,1995,4
343,cubilia curae mauris viverra diam vitae quam,Honda,Accord,2002,1
344,nam ultrices libero non mattis pulvinar nulla,Lexus,RX,2005,5
345,libero nullam sit amet turpis elementum ligula vehicula,Dodge,Challenger,2010,6
346,aliquet pulvinar sed nisl nunc rhoncus,Ford,Windstar,2000,7
347,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,Mitsubishi,Diamante,1997,1
348,ut massa volutpat convallis morbi odio odio elementum eu,Nissan,Xterra,2007,4
349,amet eleifend pede libero quis,Volvo,C70,2003,1
350,cursus urna ut tellus nulla,Honda,Accord,2006,3
351,convallis eget eleifend luctus ultricies eu nibh quisque id,Ram,3500,2011,7
352,eu orci mauris lacinia sapien quis,Volkswagen,Golf,2003,3
353,non mauris morbi non lectus aliquam sit amet,Land Rover,Range Rover,1993,5
354,feugiat non pretium quis lectus,Honda,Fit,2012,2
355,convallis eget eleifend luctus ultricies,GMC,Yukon XL 2500,2012,3
356,integer non velit donec diam neque vestibulum eget,Nissan,Altima,1999,1
